,Created Date,Negative,Neutral,Positive,Tweets Ago,Twitter Account,compound
58,2018-03-20 18:04:53+00:00,0.148,0.852,0.0,59,CBSNews,-0.3818
59,2018-03-20 18:03:02+00:00,0.0,0.909,0.091,60,CBSNews,0.2023
60,2018-03-20 17:56:53+00:00,0.0,1.0,0.0,61,CBSNews,0.0
61,2018-03-20 17:35:32+00:00,0.0,0.68,0.32,62,CBSNews,0.8126
62,2018-03-20 17:27:49+00:00,0.0,1.0,0.0,63,CBSNews,0.0
63,2018-03-20 17:22:05+00:00,0.0,1.0,0.0,64,CBSNews,0.0
64,2018-03-20 17:20:02+00:00,0.086,0.914,0.0,65,CBSNews,-0.1531
65,2018-03-20 17:15:00+00:00,0.0,1.0,0.0,66,CBSNews,0.0
66,2018-03-20 17:00:39+00:00,0.159,0.841,0.0,67,CBSNews,-0.5574
67,2018-03-20 16:56:17+00:00,0.0,1.0,0.0,68,CBSNews,0.0
68,2018-03-20 16:53:06+00:00,0.055,0.945,0.0,69,CBSNews,-0.1027
69,2018-03-20 16:41:04+00:00,0.0,0.873,0.127,70,CBSNews,0.4404
70,2018-03-20 16:37:29+00:00,0.0,1.0,0.0,71,CBSNews,0.0
71,2018-03-20 16:35:47+00:00,0.087,0.788,0.126,72,CBSNews,0.2484
72,2018-03-20 16:34:39+00:00,0.0,1.0,0.0,73,CBSNews,0.0
73,2018-03-20 16:32:29+00:00,0.0,0.894,0.106,74,CBSNews,0.3612
74,2018-03-20 16:31:26+00:00,0.0,0.841,0.159,75,CBSNews,0.5256
75,2018-03-20 16:29:00+00:00,0.099,0.901,0.0,76,CBSNews,-0.296
76,2018-03-20 16:27:57+00:00,0.0,0.643,0.357,77,CBSNews,0.875
77,2018-03-20 16:26:28+00:00,0.23,0.608,0.162,78,CBSNews,-0.25
78,2018-03-20 15:38:56+00:00,0.107,0.791,0.102,79,CBSNews,-0.0258
79,2018-03-20 15:36:25+00:00,0.0,0.814,0.186,80,CBSNews,0.4767
80,2018-03-20 15:33:45+00:00,0.091,0.909,0.0,81,CBSNews,-0.3182
81,2018-03-20 15:31:20+00:00,0.0,0.863,0.137,82,CBSNews,0.4019
82,2018-03-20 15:29:37+00:00,0.0,1.0,0.0,83,CBSNews,0.0
83,2018-03-20 15:23:27+00:00,0.208,0.792,0.0,84,CBSNews,-0.6124
84,2018-03-20 15:18:08+00:00,0.0,0.856,0.144,85,CBSNews,0.4939
85,2018-03-20 15:15:01+00:00,0.21,0.516,0.274,86,CBSNews,0.3818
86,2018-03-20 15:14:12+00:00,0.0,1.0,0.0,87,CBSNews,0.0
87,2018-03-20 15:00:02+00:00,0.0,0.872,0.128,88,CBSNews,0.4215
88,2018-03-20 14:45:01+00:00,0.0,1.0,0.0,89,CBSNews,0.0
89,2018-03-20 14:32:01+00:00,0.0,1.0,0.0,90,CBSNews,0.0
90,2018-03-20 14:01:27+00:00,0.0,1.0,0.0,91,CBSNews,0.0
91,2018-03-20 13:39:16+00:00,0.153,0.847,0.0,92,CBSNews,-0.4019
92,2018-03-20 13:30:02+00:00,0.091,0.909,0.0,93,CBSNews,-0.2023
93,2018-03-20 13:16:05+00:00,0.0,0.806,0.194,94,CBSNews,0.6249
94,2018-03-20 13:06:46+00:00,0.0,1.0,0.0,95,CBSNews,0.0
95,2018-03-20 12:50:01+00:00,0.0,1.0,0.0,96,CBSNews,0.0
96,2018-03-20 12:49:09+00:00,0.0,0.796,0.204,97,CBSNews,0.6249
97,2018-03-20 12:48:56+00:00,0.0,0.648,0.352,98,CBSNews,0.8271
98,2018-03-20 12:44:08+00:00,0.0,0.865,0.135,99,CBSNews,0.4215
99,2018-03-20 12:38:12+00:00,0.0,1.0,0.0,100,CBSNews,0.0
0,2018-03-21 04:01:06+00:00,0.111,0.756,0.133,1,CNN,0.128
1,2018-03-21 03:46:06+00:00,0.0,0.833,0.167,2,CNN,0.4215
2,2018-03-21 03:31:06+00:00,0.0,1.0,0.0,3,CNN,0.0
3,2018-03-21 03:16:04+00:00,0.162,0.838,0.0,4,CNN,-0.4767
4,2018-03-21 03:02:18+00:00,0.0,1.0,0.0,5,CNN,0.0
5,2018-03-21 03:01:02+00:00,0.0,0.863,0.137,6,CNN,0.4019
6,2018-03-21 02:49:36+00:00,0.0,0.764,0.236,7,CNN,0.5719
7,2018-03-21 02:46:04+00:00,0.0,0.812,0.188,8,CNN,0.6037
8,2018-03-21 02:36:04+00:00,0.0,1.0,0.0,9,CNN,0.0
9,2018-03-21 02:31:07+00:00,0.199,0.707,0.093,10,CNN,-0.5106
10,2018-03-21 02:16:03+00:00,0.22,0.78,0.0,11,CNN,-0.6705
11,2018-03-21 02:11:06+00:00,0.0,0.87,0.13,12,CNN,0.4019
12,2018-03-21 02:09:35+00:00,0.135,0.865,0.0,13,CNN,-0.3612
13,2018-03-21 02:07:37+00:00,0.157,0.756,0.087,14,CNN,-0.296
14,2018-03-21 02:01:07+00:00,0.079,0.921,0.0,15,CNN,-0.0516
15,2018-03-21 01:50:08+00:00,0.115,0.885,0.0,16,CNN,-0.3818
16,2018-03-21 01:42:10+00:00,0.356,0.644,0.0,17,CNN,-0.8555
17,2018-03-21 01:38:45+00:00,0.196,0.804,0.0,18,CNN,-0.5267
18,2018-03-21 01:31:20+00:00,0.0,1.0,0.0,19,CNN,0.0
19,2018-03-21 01:30:24+00:00,0.0,0.884,0.116,20,CNN,0.3875
20,2018-03-21 01:24:52+00:00,0.0,0.908,0.092,21,CNN,0.2057
21,2018-03-21 01:09:09+00:00,0.137,0.863,0.0,22,CNN,-0.4019
22,2018-03-21 00:52:09+00:00,0.13,0.87,0.0,23,CNN,-0.4019
23,2018-03-21 00:42:42+00:00,0.0,1.0,0.0,24,CNN,0.0
24,2018-03-21 00:40:11+00:00,0.0,1.0,0.0,25,CNN,0.0
